id,question,explanation,answer
1,다음 설명을 읽고 적합한것을 작성하세요.,"자바 플랫폼을 위한 오픈소스 애플리케이션 프레임워크 입니다. 동적인 웹 사이트 개발을 위한 여러가지 서비스를 제공하고, 대한민국 공공기관의 웹 서비스 개발 시 사용을 권장하고 있는 전자정부표준 프레임워크의 기반 기술입니다.",Spring/스프링
2,다음 설명을 읽고 적합한것을 작성하세요.,필요한 객체를 직접 생성하는 것이 아닌 외부로부터 객체를 받아 사용하는 것입니다.,DI/의존성 주입
3,다음 설명을 읽고 적합한것을 작성하세요.,"트렌젝션, 로깅 보안 등 여러 모듈, 여러 계층에서 공통으로 필요로 하는 기능의 경우 해당 기능을 분리해 관리할 수 있습니다.",AOP/관점지향 프로그래밍
4,다음 설명을 읽고 적합한것을 작성하세요.,"컨트롤의 제어권이 개발자가 아니라 프레임워크에 있는 것으로, 객체의 생성부터 모든 생명 주기의 관리까지 프레임워크가 주도하는 것을 의미합니다.",IoC/제어의역전
5,다음 설명을 읽고 적합한것을 작성하세요.,"HTTP의 일종으로 사용자가 어떠한 웹 사이트를 방문할 경우, 그 사이트가 사용하고 있는 서버에서 사용자의 컴퓨터에 저장하는 작은 기록 정보 파일이다.HTTP에서 클라이언트의 상태 정보를 클라이언트의 PC에 저장하였다가 필요시 정보를 참조하거나 재사용할 수 있다.",Cookie/쿠키
6,다음 설명을 읽고 적합한것을 작성하세요.,"일정 시간 동안 같은 사용자(브라우저)로부터 들어오는 일련의 요구를 하나의 상태로 보고, 그 상태를 유지시키는 기술이다.여기서 일정 시간은 방문자가 웹 브라우저를 통해 웹 서버에 접속한 시점부터 웹 브라우저를 종료하여 연결을 끝내는 시점을 말한다.즉, 방문자가 웹 서버에 접속해 있는 상태를 하나의 단위로 보는 것",Session/세션
7,다음 설명을 읽고 적합한것을 작성하세요.,데이터 그룹을 저장하는 클래스들을 표준화한 설계이다.  00(을)를 활용하면 객체 지향적이고 재사용성이 높은 코드를 작성할 수 있다.,Collection Framework/컬렉션 프레임워크
8,다음 설명을 읽고 적합한것을 작성하세요.,"데이터베이스를 관리하고 운영하는 소프트웨어입니다. 데이터베이스에 저장된 데이터를 정의, 조작, 제어하는 기능을 제공합니다. ",DBMS/데이터베이스 관리 시스템
9,다음 설명을 읽고 적합한것을 작성하세요.,"애플리케이션의 핵심 데이터와 비즈니스 로직을 나타냅니다. 데이터 저장소와의 상호 작용, 데이터 처리 및 유효성 검사와 같은 작업을 수행합니다. 00은 독립적으로 작동하며, 뷰와 컨트롤러와의 직접적으로 통신하지 않습니다.",Model/모델
10,다음 설명을 읽고 적합한것을 작성하세요.,"데이터베이스 테이블에 접근하는 메서드들(예: findAll, save 등)을 사용하기 위한 인터페이스이다. 데이터 처리를 위해서는 테이블에 어떤 값을 넣거나 값을 조회하는 등의 CRUD(Create, Read, Update, Delete)가 필요하다. 이 때 이러한 CRUD를 어떻게 처리할지 정의하는 계층",Repository/레포지토리
,,,
,,,
